T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
17.5;10000;desc;87;790.2;0.05136
17.5;10000;desc;88;729.4;0.05086
17.5;10000;desc;89;668.6;0.04826
17.5;10000;desc;90;607.8;0.04511
17.5;10000;desc;91;547.1;0.04339
17.5;10000;desc;92;486.3;0.04123
17.5;10000;desc;93;425.5;0.03947
17.5;10000;desc;94;364.7;0.03774
17.5;10000;desc;95;303.9;0.03440
17.5;10000;desc;96;243.1;0.03250
17.5;10000;desc;97;182.4;0.02989
17.5;10000;desc;98;121.6;0.02787
17.5;10000;desc;99;60.8;0.02685
17.5;10000;desc;100;0.0;0.02467
17.5;10000;desc;101;-60.8;0.02072
17.5;10000;desc;102;-121.6;0.01746
17.5;10000;desc;103;-182.4;0.01464
17.5;10000;desc;104;-243.1;0.01199
17.5;10000;desc;105;-303.9;0.00916
17.5;10000;desc;106;-364.7;0.00502
17.5;10000;desc;107;-425.5;0.00154
17.5;10000;desc;108;-486.3;-0.00196
17.5;10000;desc;109;-547.1;-0.00698
17.5;10000;desc;110;-607.8;-0.01074
17.5;10000;desc;111;-668.6;-0.01454
17.5;10000;desc;112;-729.4;-0.01777
17.5;10000;desc;113;-790.2;-0.02118
17.5;10000;desc;114;-851.0;-0.02522
17.5;10000;desc;115;-911.8;-0.02886
17.5;10000;desc;116;-972.5;-0.03171
17.5;10000;desc;117;-1033.3;-0.03466
17.5;10000;desc;118;-1094.1;-0.03931
17.5;10000;desc;119;-1154.9;-0.04212
17.5;10000;desc;120;-1215.7;-0.04411
17.5;10000;desc;121;-1276.5;-0.04637
17.5;10000;desc;122;-1337.2;-0.04920
17.5;10000;desc;123;-1398.0;-0.05027
17.5;10000;desc;124;-1458.8;-0.05101
17.5;10000;desc;125;-1519.6;-0.05169
17.5;10000;desc;126;-1580.4;-0.05266
17.5;10000;desc;127;-1641.2;-0.05483
17.5;10000;desc;128;-1702.0;-0.06350
17.5;10000;desc;129;-1762.7;-0.06487
17.5;10000;desc;130;-1823.5;-0.06669
17.5;10000;desc;131;-1884.3;-0.07028
17.5;10000;desc;132;-1945.1;-0.07268
17.5;10000;desc;133;-2005.9;-0.07377
17.5;10000;desc;134;-2066.7;-0.07507
17.5;10000;desc;135;-2127.4;-0.07704
17.5;10000;desc;136;-2188.2;-0.07860
17.5;10000;desc;137;-2249.0;-0.08117
17.5;10000;desc;138;-2309.8;-0.08389
17.5;10000;desc;139;-2370.6;-0.08500
17.5;10000;desc;140;-2431.4;-0.08635
17.5;10000;desc;141;-2492.1;-0.08818
17.5;10000;desc;142;-2552.9;-0.09092
17.5;10000;desc;143;-2613.7;-0.09201
17.5;10000;desc;144;-2674.5;-0.09444
17.5;10000;desc;145;-2735.3;-0.09623
17.5;10000;desc;146;-2796.1;-0.09704
17.5;10000;desc;147;-2856.8;-0.09816
17.5;10000;desc;148;-2917.6;-0.10006
17.5;10000;desc;149;-2978.4;-0.10158
17.5;10000;desc;150;-3039.2;-0.10251
17.5;10000;desc;151;-3100.0;-0.10313
17.5;10000;desc;152;-3160.8;-0.10454
17.5;10000;desc;153;-3221.5;-0.10735
17.5;10000;desc;154;-3282.3;-0.10950
17.5;10000;desc;155;-3343.1;-0.11136
17.5;10000;desc;156;-3403.9;-0.11264
17.5;10000;desc;157;-3464.7;-0.11334
17.5;10000;desc;158;-3525.5;-0.11413
17.5;10000;desc;159;-3586.3;-0.11589
17.5;10000;desc;160;-3647.0;-0.11799
17.5;10000;desc;161;-3707.8;-0.11890
17.5;10000;desc;162;-3768.6;-0.11945
17.5;10000;desc;163;-3829.4;-0.12118
17.5;10000;desc;164;-3890.2;-0.12275
